GZÜV-ID;Gemeindename;Quartal;G102;G107;G111;G113;G114;G116;G118;G119;G121;G122;G123;G130;G134;G135;G136;G137;G138;G139;G151;G152;G153;G154;G155;G156;G157;G159;G160;G161;G164;G165;G223;G226;G227;G228;G285;G366;G421;G422;G423;G424;G425;G426;G427;G428;G429;G433;
GZÜV-ID;Gemeindename;Quartal;ENTNAHME-DATUM;LUFTTEMPERATUR IN °C;GERUCH;FAERBUNG;TRUEBUNG;WASSERTEMPERATUR °C;PH-WERT;SAUERSTOFFGEHALT mg/l;REDOXPOTENTIAL mV;GESAMTHAERTE °dH;KARBONATHAERTE °dH;FREIE KOHLENSAEURE mg/l;CALCIUM mg/l;MAGNESIUM mg/l;NATRIUM mg/l;KALIUM mg/l;EISEN mg/l;MANGAN mg/l;BOR mg/l;AMMONIUM mg/l;NITRIT mg/l;NITRAT mg/l;CHLORID mg/l;SULFAT mg/l;HYDROGENK. mg/l;ORTHOPHOSPHAT mg/l;KIESELSAEURE mg/l;FLUORID mg/l;DOC mg/l;TOC mg/l;QUELLSCHÜTTUNG l/s;TRITIUM TE;DEUTERIUM d 0/00;SAUERSTOFF 18 d 0/00;RADON-222 Bq/l;ELEKTR. LEITF. (bei 20°C) µS/cm;CADMIUM µg/l;QUECKSILBER µg/l;ZINK µg/l;KUPFER µg/l;ALUMINIUM µg/l;BLEI µg/l;CHROM-GESAMT (filtriert) µg/l;NICKEL µg/l;ARSEN µg/l;URAN µg/l;
"KK71130012";"Häselgehr";"Q3 2007 (A730)";"25.07.2007";"20";"geruchlos";"farblos ";"keine Trübung";"7.3";"7.9";"9.4";"";"7.21";"5.63";"";"32";"11.9";"<1";"<2";"<0,02";"[0,0005]";"<0,02";"[0,0023]";"[0,0007]";"0.8";"<1";"33.4";"122";"<0,015";"";"";"0.67";"";"1163";"";"";"";"";"236";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q4 2007 (A740)";"09.10.2007";"17";"geruchlos";"farblos ";"keine Trübung";"7.1";"7.94";"10.2";"";"10";"6.16";"";"45.3";"16";"1.25";"<2";"<0,02";"[0,0009]";"<0,02";"[0,0027]";"[0,0041]";"0.82";"<1";"77.4";"134";"[0,0014]";"";"";"<0,5";"";"580";"";"";"";"";"330";"[0,03]";"[0,01]";"<20";"<1";"[2,2]";"[0,2]";"[0,12]";"<1";"[0,35]";"";
"KK71130012";"Häselgehr";"Q2 2008 (A820)";"29.04.2008";"9";"geruchlos";"farblos ";"keine Trübung";"6.7";"7.76";"9.5";"";"6.59";"6.18";"";"30";"10.3";"<1";"<2";"<0,02";"[0,0004]";"<0,02";"0.013";"[0,0012]";"1.12";"<1";"7.92";"135";"[0,0055]";"";"";"1.73";"";"1117";"";"";"";"";"208";"<0,2";"[0,01]";"[1,8]";"<1";"<10";"[0,08]";"<1";"<1";"<1";"";
"KK71130012";"Häselgehr";"Q4 2008 (A840)";"13.10.2008";"18";"geruchlos";"farblos ";"keine Trübung";"6.8";"7.93";"10.4";"";"5.99";"5.83";"";"25.2";"10.7";"<1";"<2";"<0,02";"[0,0004]";"<0,02";"0.012";"<0,01";"0.99";"<1";"8.87";"127";"<0,015";"";"";"<0,5";"";"55";"";"";"";"";"195";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 2009 (A920)";"21.04.2009";"16";"geruchlos";"farblos ";"keine Trübung";"6.6";"8.2";"10.5";"";"5.5";"5.52";"";"23.6";"9.52";"<1";"<2";"<0,02";"[0,0005]";"[0,0015]";"<0,01";"<0,01";"1.2";"<1";"3.18";"120";"<0,015";"";"";"1.24";"";"1150";"";"";"";"";"170";"[0,05]";"[0,03]";"<20";"<1";"<10";"[0,03]";"8.44";"[0,1]";"<1";"";
"KK71130012";"Häselgehr";"Q4 2009 (A940)";"19.10.2009";"3";"geruchlos";"farblos ";"keine Trübung";"6.7";"8.21";"10.8";"";"6.77";"6.34";"";"28.4";"12.1";"<1";"<2";"<0,02";"[0,001]";"<0,02";"<0,01";"[0,0009]";"1.09";"<1";"9.89";"138";"<0,015";"";"";"0.64";"";"500";"";"";"";"";"205";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 2010 (B020)";"13.04.2010";"11";"geruchlos";"farblos ";"keine Trübung";"6.8";"8.37";"10.24";"";"5.91";"5.94";"";"25.3";"10.3";"<1";"<2";"<0,02";"[0,00082]";"<0,02";"<0,006";"<0,006";"1.08";"<1";"5.36";"129";"[0,0022]";"";"";"1.32";"";"530";"";"";"";"";"193";"[0,07]";"[0,05]";"<20";"[0,15]";"<10";"[0,33]";"[0,25]";"[0,35]";"[0,21]";"";
"KK71130012";"Häselgehr";"Q4 2010 (B040)";"16.11.2010";"1";"geruchlos";"farblos ";"keine Trübung";"7";"8.13";"10";"";"6.09";"6";"";"25.9";"10.7";"<1";"<2";"<0,02";"[0,0004]";"<0,02";"<0,006";"<0,006";"<1";"<1";"6.24";"131";"<0,009";"";"";"0.77";"";"680";"";"";"";"";"193";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 2011 (B120)";"18.04.2011";"17";"geruchlos";"farblos ";"keine Trübung";"7.2";"8.52";"10.46";"";"6.18";"5.72";"";"25.7";"11.2";"<1";"<2";"<0,02";"[0,0006]";"<0,02";"<0,006";"<0,006";"1.11";"<1";"12";"124";"<0,009";"";"";"0.71";"";"696";"";"";"";"";"197";"[0,03]";"<0,2";"<20";"[0,12]";"<10";"[0,17]";"[0,2]";"<1";"[0,18]";"";
"KK71130012";"Häselgehr";"Q4 2011 (B140)";"22.11.2011";"5";"geruchlos";"farblos ";"keine Trübung";"7.4";"8.12";"9.04";"";"12.5";"6.66";"";"56.9";"19.6";"2.36";"<2";"<0,02";"[0,0012]";"0.025";"<0,006";"<0,006";"<1";"1.07";"104";"145";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"393";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 2012 (B220)";"16.04.2012";"6";"geruchlos";"farblos ";"keine Trübung";"6.8";"8.35";"10.26";"";"8.05";"6.37";"";"33.8";"14.4";"<1";"<2";"<0,02";"[0,0003]";"<0,02";"<0,006";"<0,006";"1.09";"<1";"28.2";"139";"[0,0017]";"";"";"0.83";"";"500";"";"";"";"";"245";"[0,02]";"<0,2";"<20";"[0,14]";"[1,2]";"<1";"<1";"[0,12]";"[0,2]";"";
"KK71130012";"Häselgehr";"Q4 2012 (B240)";"24.10.2012";"6";"geruchlos";"farblos ";"keine Trübung";"7.1";"8.37";"10.46";"";"8.91";"6.31";"";"39.9";"14.4";"<1";"<2";"<0,02";"[0,0005]";"<0,02";"<0,006";"<0,006";"0.73";"<1";"48.6";"137";"<0,009";"";"";"0.64";"";"670";"";"";"";"";"280";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 2013 (B320)";"15.04.2013";"18";"geruchlos";"farblos";"keine Trübung";"7.8";"8.47";"10.19";"";"7.84084";"6.67352";"";"34.54489";"13.0386";"<1";"<2";"<0,02";"[0,00152]";"<0,02";"<0,006";"<0,006";"0.97326";"<1";"16.41796";"145.22046";"<0,009";"";"";"1.51258";"";"600";"";"";"";"";"233";"[0,023147]";"<0,2";"<5";"<1";"<10";"<1";"<1";"<1";"<1";"2.2104";
"KK71130012";"Häselgehr";"Q3 2013 (B330)";"09.07.2013";"20";"geruchlos";"farblos";"keine Trübung";"6.2";"8.22";"10.98";"";"4.40582";"4.10786";"";"17.24681";"8.63889";"<1";"<2";"[0,00199]";"[0,00081]";"[0,0042]";"<0,006";"[0,00179]";"0.66598";"<1";"1.6558";"89.38991";"[0,0015]";"";"";"<0,5";"";"1200";"";"";"";"";"127";"[0,028322]";"<0,2";"<5";"[0,17522]";"[1,05863]";"<1";"1.18973";"<1";"[0,12939]";"1.05777";
"KK71130012";"Häselgehr";"Q4 2013 (B340)";"07.10.2013";"16";"geruchlos";"farblos";"keine Trübung";"7.2";"8.37";"11.02";"";"6.29832";"5.97252";"";"27.47773";"10.63801";"<1";"<2";"<0,02";"<0,02";"<0,02";"<0,006";"<0,006";"0.77161";"<1";"10.06584";"129.96621";"<0,009";"";"";"0.77768";"";"924";"";"";"";"";"198";"[0,012372]";"<0,2";"<5";"<1";"<10";"[0,22187]";"<1";"[0,09776]";"<1";"1.23797";
"KK71130012";"Häselgehr";"Q2 2014 (B420)";"09.04.2014";"8";"geruchlos";"farblos";"keine Trübung";"6.6";"8.46";"11.11";"";"6.22806";"5.83232";"";"26.36552";"11.0079";"<1";"<2";"[0,00124]";"[0,00107]";"<0,02";"[0,00172]";"[0,0026]";"1.01234";"<1";"7.23479";"126.91536";"[0,0029]";"";"";"0.72333";"";"560";"";"";"";"";"188";"[0,015819]";"<0,2";"<5";"[0,23775]";"<10";"[0,07478]";"2.29018";"<1";"<1";"1.38828";
"KK71130012";"Häselgehr";"Q4 2014 (B440)";"21.10.2014";"12";"geruchlos";"farblos";"keine Trübung";"7.3";"8.13";"10.14";"";"10.48609";"6.67352";"";"47.54741";"16.6199";"1.44744";"<2";"<0,02";"[0,00176]";"<0,02";"0.01751";"<0,01";"0.77619";"<1";"61.36011";"145.22046";"<0,015";"";"";"0.65316";"";"780";"";"";"";"";"318";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 2015 (B520)";"06.05.2015";"8";"geruchlos";"farblos";"keine Trübung";"5.8";"8.01";"11.34";"";"4.74008";"4.68268";"";"19.32321";"8.82862";"<1";"<2";"<0,02";"[0,00034]";"<0,02";"<0,01";"<0,01";"0.66595";"<1";"1.49473";"101.89839";"<0,015";"";"";"0.86393";"";"2850";"";"";"";"";"143";"[0,015278]";"<0,2";"24.405567";"<1";"<10";"[0,10509]";"[0,1456]";"[0,19763]";"[0,14235]";"<1";
"KK71130012";"Häselgehr";"Q4 2015 (B540)";"04.11.2015";"12";"geruchlos";"farblos";"keine Trübung";"7.3";"8.42";"11.12";"";"11.96242";"6.39312";"";"54.50363";"18.80086";"1.73954";"<2";"[0,00208]";"[0,0012]";"<0,02";"[0,00115]";"[0,00184]";"0.81061";"<1";"95.33785";"139.11876";"<0,015";"";"";"0.56215";"";"360";"";"";"";"";"371";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 2016 (B620)";"17.05.2016";"n.a.";"geruchlos";"farblos";"keine Trübung";"6.1";"8.47";"11.4";"";"5.59372";"5.35564";"";"22.79985";"10.42053";"<1";"<2";"[0,00067]";"[0,00091]";"[0,00178]";"<0,01";"[0,00156]";"0.91346";"<1";"2.26195";"116.54247";"[0,00327]";"";"";"1.12031";"";"930";"";"";"";"";"166";"<0,2";"<0,2";"<5";"[0,10918]";"[0,70925]";"[0,0944]";"<1";"[0,11009]";"<1";"<1";
"KK71130012";"Häselgehr";"Q2 2017 (B720)";"11.04.2017";"9";"geruchlos";"farblos";"keine Trübung";"6.5";"8.09";"11.11";"";"5.77907";"5.66408";"";"24.76924";"10.02972";"<1";"<2";"<0,02";"[0,00096]";"<0,02";"<0,01";"[0,00185]";"1.17545";"<1";"3.45681";"123.25434";"[0,00361]";"";"";"1.06792";"";"922";"";"";"";"";"176";"[0,02256]";"<0,2";"<5";"<1";"10.90956";"[0,04649]";"[0,16699]";"[0,21907]";"<1";"<1";
"KK71130012";"Häselgehr";"Q2 2018 (B820)";"02.05.2018";"12";"geruchlos";"farblos";"keine Trübung";"6.1";"8.16";"11.41";"";"4.92898";"4.82288";"";"20.05692";"9.20252";"<1";"<2";"[0,00215]";"[0,00236]";"[0,00161]";"<0,01";"[0,0011]";"0.83727";"<1";"1.50591";"104.94924";"<0,015";"";"";"0.65307";"";"1114";"";"";"";"";"149";"[0,0259]";"<0,2";"<5";"<1";"<10";"[0,11602]";"[0,16936]";"[0,23871]";"[0,14174]";"<1";
"KK71130012";"Häselgehr";"Q2 2019 (B920)";"24.04.2019";"20";"geruchlos";"farblos";"keine Trübung";"6.3";"8.09";"10.95";"";"6.10593";"5.83232";"";"26.69993";"10.27571";"<1";"<2";"<0,02";"[0,00071]";"[0,00154]";"[0,00183]";"<0,01";"1.11292";"<1";"2.63378";"126.91536";"[0,00204]";"";"";"0.98038";"";"887";"";"";"";"";"182";"[0,0152]";"[0,00404]";"<5";"[0,13788]";"<10";"[0,15182]";"<1";"[0,18287]";"[0,25621]";"<1";
"KK71130012";"Häselgehr";"Q3 2019 (B930)";"02.07.2019";"23";"geruchlos";"farblos";"keine Trübung";"5.4";"8.3";"11.44";"";"3.99944";"3.86952";"";"16.15759";"7.5379";"<1";"<2";"[0,00071]";"[0,00133]";"<0,02";"<0,01";"[0,00077]";"<1";"<1";"2.06215";"84.20346";"<0,015";"";"";"<0,5";"";"1679";"";"";"";"";"120";"[0,0105]";"[0,00379]";"5.38031";"[0,21259]";"<10";"<1";"<1";"<1";"<1";"<1";
"KK71130012";"Häselgehr";"Q4 2019 (B940)";"15.10.2019";"16";"geruchlos";"farblos";"keine Trübung";"6.1";"8.04";"10.83";"";"6.71377";"5.97252";"";"28.37321";"11.8958";"<1";"<2";"[0,00095]";"[0,00091]";"<0,02";"<0,01";"[0,00233]";"<1";"<1";"9.32186";"129.96621";"[0,00253]";"";"";"0.66988";"";"780";"";"";"";"";"196";"[0,01475]";"[0,00417]";"<5";"<1";"<10";"[0,12133]";"<1";"[0,25843]";"[0,19505]";"1.15274";
"KK71130012";"Häselgehr";"Q2 2020 (C020)";"02.06.2020";"21";"geruchlos";"farblos";"keine Trübung";"6.1";"8.13";"11.54";"";"5.2171";"4.68268";"";"21.78492";"9.40351";"<1";"<2";"[0,00056]";"[0,0007]";"<0,02";"[0,00243]";"<0,01";"<1";"<1";"9.59337";"101.89839";"<0,015";"";"";"<0,5";"";"910";"";"";"";"";"162";"[0,02158]";"[0,00119]";"<5";"[0,07029]";"<10";"[0,08652]";"[0,1551]";"[0,20042]";"[0,23019]";"<1";
"KK71130012";"Häselgehr";"Q2 2021 (C120)";"20.04.2021";"9";"geruchlos";"farblos";"keine Trübung";"7.1";"8.01";"8.98";"";"10.07429";"6.61744";"";"46.112";"15.70532";"1.0999";"<2";"<0,02";"[0,00127]";"<0,02";"<0,01";"[0,00206]";"1.03506";"<1";"60.00492";"144.00012";"[0,00382]";"";"";"0.8919";"";"343";"";"";"";"";"307";"<0,2";"[0,00198]";"<5";"[0,11058]";"<10";"[0,07111]";"<1";"[0,13445]";"[0,15644]";"2.0096";
"KK71130012";"Häselgehr";"Q2 2022 (C220)";"03.05.2022";"17";"geruchlos";"farblos";"keine Trübung";"6.4";"8.13";"10.86";"";"6.24744";"5.91644";"";"27.23961";"10.56187";"<1";"<2";"[0,00091]";"[0,00119]";"<0,02";"<0,01";"[0,00154]";"<1";"<1";"4.92424";"128.74587";"[0,00341]";"";"";"0.61651";"";"715";"";"";"";"";"186";"[0,01093]";"[0,00139]";"<5";"<1";"<10";"[0,15668]";"<1";"[0,17737]";"<1";"1.06891";
"KK71130012";"Häselgehr";"Q2 2023 (C320)";"03.05.2023";"11";"geruchlos";"farblos";"keine Trübung";"6.2";"8.16";"10.83";"";"5.62002";"5.35564";"";"24.3301";"9.60657";"<1";"<2";"<0,01";"[0,00091]";"<0,02";"<0,01";"<0,01";"<1";"<1";"2.60582";"116.54247";"<0,015";"";"";"1.38463";"";"902";"";"";"";"";"166";"[0,01142]";"[0,00078]";"<5";"<1";"<10";"[0,02384]";"[0,177]";"[0,11508]";"[0,128]";"<1";
"KK71130022";"Weißenbach am Lech";"Q4 1996 (9620)";"09.12.1996";"2.1";"geruchlos";"farblos ";"keine Trübung";"5.3";"7.86";"10.89";"";"6.62";"6.44";"";"24.6";"13.8";"<1";"<2";"[0,012]";"[0,009]";"<0,02";"<0,01";"<0,01";"1.85";"<1";"4.18";"140.3";"[0,003]";"";"[0,08]";"0.877";"";"55";"";"";"";"";"192.65233";"[0,11]";"[0,05]";"[6,2]";"[0,5]";"<10";"<1";"[0,6]";"[0,4]";"[0,4]";"";
"KK71130022";"Weißenbach am Lech";"Q1 1997 (9630)";"05.02.1997";"2.5";"geruchlos";"farblos ";"keine Trübung";"5.1";"8.14";"10.64";"";"6.63";"6.29";"";"24.5";"13.9";"[0,13]";"<2";"";"";"[0,002]";"[0,002]";"[0,001]";"1.88";"[0,23]";"4.79";"137.1";"<0,015";"";"<0,1";"1.041";"";"34";"";"";"";"";"190.86022";"";"[0,06]";"";"";"";"";"";"";"";"";
"KK71130022";"Weißenbach am Lech";"Q2 1997 (9640)";"14.05.1997";"21.5";"geruchlos";"farblos ";"keine Trübung";"5.3";"7.95";"10.8";"";"6.47";"6.38";"";"24.2";"13.4";"<1";"<2";"[0,011]";"[0,008]";"[0,002]";"<0,01";"<0,01";"1.78";"<1";"3.47";"139";"<0,006";"";"[0,08]";"1.121";"";"74";"";"";"";"";"195.3405";"[0,07]";"[0,06]";"[4,5]";"[0,5]";"11";"[0,6]";"[0,6]";"[0,5]";"[0,5]";"";
"KK71130022";"Weißenbach am Lech";"Q3 1997 (9710)";"30.07.1997";"21";"geruchlos";"farblos ";"keine Trübung";"5.3";"8.3";"10.61";"";"6.92";"6.6";"";"25.5";"14.6";"<1";"<2";"[0,00001]";"[0,013]";"[0,002]";"0.013";"<0,01";"1.82";"<1";"3.52";"143.8";"<0,015";"";"[0,08]";"1.248";"";"96";"";"";"";"";"202.50896";"[0,12]";"[0,04]";"[4,6]";"<1";"24";"[0,7]";"[0,6]";"[0,7]";"[0,5]";"";
"KK71130022";"Weißenbach am Lech";"Q4 1997 (9720)";"22.10.1997";"11.5";"geruchlos";"farblos ";"keine Trübung";"6";"8.12";"10.54";"";"6.61";"6.55";"";"24.9";"13.6";"<1";"<2";"";"";"<0,02";"<0,01";"<0,01";"1.78";"[0,17]";"3.84";"142.7";"<0,015";"";"[0,08]";"1.239";"";"77";"";"";"";"";"201.6129";"";"";"";"";"";"";"";"";"<1";"";
"KK71130022";"Weißenbach am Lech";"Q1 1998 (9730)";"28.01.1998";"2";"geruchlos";"farblos ";"keine Trübung";"5.5";"8.11";"10.77";"";"6.58";"6.27";"";"24.1";"13.9";"[0,135]";"<2";"";"";"[0,002]";"[0,002]";"[0,001]";"1.91";"<1";"4.71";"136.7";"[0,002]";"";"[0,08]";"";"";"37";"14.9";"";"-12.44";"";"187.27599";"";"";"";"";"";"";"";"";"[0,5]";"";
"KK71130022";"Weißenbach am Lech";"Q2 1998 (9740)";"08.04.1998";"10";"geruchlos";"farblos ";"keine Trübung";"5.4";"7.53";"10.15";"";"6.49";"6.49";"";"24.3";"13.5";"<1";"<2";"";"";"<0,02";"[0,001]";"<0,01";"2.23";"<1";"3.45";"141.5";"<0,015";"";"[0,08]";"1.433";"";"65";"13.5";"";"-12.47";"";"193.54839";"";"";"";"";"";"";"";"";"<1";"";
"KK71130022";"Weißenbach am Lech";"Q3 1998 (9810)";"13.07.1998";"22.5";"geruchlos";"farblos ";"keine Trübung";"5.6";"8";"10.82";"";"6.64";"6.62";"";"24.5";"14";"<1";"<2";"<0,02";"[0,0008]";"<0,02";"<0,01";"[0,0017]";"2";"[0,165]";"3.55";"144.3";"<0,015";"";"";"1.51";"";"70";"15.2";"";"-12.43";"";"204.30108";"<0,2";"[0,03]";"<20";"6.26";"<10";"[0,04]";"6.28";"1.67";"[0,17]";"";
"KK71130022";"Weißenbach am Lech";"Q4 1998 (9820)";"11.11.1998";"2";"geruchlos";"farblos ";"keine Trübung";"5.6";"7.81";"10.63";"";"6.97";"6.86";"";"26.1";"14.4";"<1";"[0,172]";"[0,0017]";"[0,0008]";"[0,00213]";"[0,0017]";"[0,0015]";"1.72";"<1";"2.74";"149.4";"<0,015";"";"";"1.78";"";"159";"";"";"";"";"200.71685";"[0,04]";"[0,02]";"<20";"8.96";"14.4";"[0,14]";"[0,14]";"[0,2]";"[0,16]";"";
"KK71130022";"Weißenbach am Lech";"Q1 1999 (9830)";"16.03.1999";"8";"geruchlos";"farblos ";"keine Trübung";"5.3";"8.05";"10.6";"";"6.75";"6.75";"";"24.4";"14.6";"<1";"<2";"<0,02";"[0,0009]";"[0,00282]";"[0,002]";"[0,0021]";"2.18";"<1";"2.91";"147";"<0,015";"";"";"2.62";"";"144";"";"";"";"";"206.09319";"[0,04]";"[0,03]";"<20";"1.19";"<10";"[0,17]";"[0,28]";"[0,23]";"[0,2]";"";
"KK71130022";"Weißenbach am Lech";"Q2 1999 (9840)";"10.05.1999";"19";"geruchlos";"farblos ";"keine Trübung";"5.3";"8.05";"9.96";"";"5.94";"5.98";"";"21.5";"12.7";"<1";"<2";"<0,02";"[0,0003]";"[0,00292]";"<0,01";"<0,01";"1.6";"<1";"2.3";"130.3";"<0,015";"";"";"1.5";"";"180";"";"";"";"";"178.31541";"[0,05]";"[0,01]";"<10";"<1";"<10";"[0,22]";"[0,12]";"[0,22]";"[0,27]";"";
"KK71130022";"Weißenbach am Lech";"Q3 1999 (9910)";"21.07.1999";"20";"geruchlos";"farblos ";"keine Trübung";"6.1";"7.96";"10.76";"";"4.69";"6.36";"";"17.4";"9.83";"<1";"<2";"[0,0019]";"[0,0007]";"<0,02";"<0,01";"<0,01";"1.68";"<1";"3.48";"138.7";"[0,002]";"";"";"1.03";"";"88";"";"";"";"";"195.3405";"[0,03]";"[0,01]";"[1,2]";"2.65";"[1,4]";"[0,11]";"[0,08]";"<1";"[0,12]";"";
"KK71130022";"Weißenbach am Lech";"Q4 1999 (9920)";"06.10.1999";"2";"geruchlos";"farblos ";"keine Trübung";"5.4";"7.93";"10.66";"";"7.15";"6.97";"";"27.1";"14.6";"<1";"<2";"[0,0017]";"[0,0008]";"[0,00317]";"<0,01";"[0,0004]";"1.82";"<1";"2.86";"151.9";"<0,015";"";"";"1.42";"";"85";"";"";"";"";"215.05376";"[0,06]";"[0,01]";"<20";"6.25";"<10";"[0,12]";"[0,23]";"[0,06]";"[0,12]";"";
"KK71130022";"Weißenbach am Lech";"Q1 2000 (A010)";"07.02.2000";"7";"geruchlos";"farblos ";"keine Trübung";"5.3";"7.85";"10.6";"";"6.78";"6.51";"";"24.6";"14.5";"<1";"<2";"<0,02";"[0,0005]";"[0,00178]";"<0,0105";"[0,0011]";"2.55";"<1";"3.8";"141.9";"<0,015";"";"";"1.52";"";"50";"";"";"";"";"212.36559";"[0,03]";"[0,01]";"[1,6]";"[0,09]";"<10";"[0,15]";"[0,05]";"<1";"[0,21]";"";
"KK71130022";"Weißenbach am Lech";"Q2 2000 (A020)";"17.04.2000";"9";"geruchlos";"farblos ";"keine Trübung";"5.2";"8.02";"10.82";"";"6.4";"6.41";"";"23.8";"13.3";"<1";"<2";"[0,002]";"[0,0006]";"[0,00182]";"[0,0026]";"[0,0019]";"1.81";"<1";"2.47";"139.7";"<0,015";"";"";"1.76";"";"110";"";"";"";"";"195.3405";"<0,2";"[0,04]";"[1]";"[0,12]";"<10";"[0,06]";"[0,1]";"[0,11]";"[0,1]";"";
"KK71130022";"Weißenbach am Lech";"Q3 2000 (A030)";"11.07.2000";"13.5";"geruchlos";"farblos ";"keine Trübung";"5.3";"7.9";"10.16";"";"7";"6.87";"";"26.1";"14.6";"<1";"<2";"[0,0018]";"[0,0006]";"<0,02";"<0,01";"[0,0019]";"1.87";"<1";"2.59";"149.6";"<0,015";"";"";"1.92";"";"200";"";"";"";"";"208.78136";"<0,2";"[0,01]";"[1,5]";"[0,14]";"<10";"[0,24]";"[0,12]";"<1";"[0,25]";"";
"KK71130022";"Weißenbach am Lech";"Q4 2000 (A040)";"11.10.2000";"12";"geruchlos";"farblos ";"keine Trübung";"5.6";"8";"10.36";"";"6.63";"6.52";"";"24.1";"14.1";"<1";"<2";"[0,0013]";"[0,0008]";"[0,00271]";"[0,002]";"[0,0003]";"1.63";"[0,15]";"3.42";"142.2";"<0,015";"";"";"1.2";"";"65";"";"";"";"";"197.13262";"[0,03]";"[0,01]";"[1,5]";"[0,2]";"<10";"[0,21]";"[0,27]";"[0,13]";"[0,18]";"";
"KK71130022";"Weißenbach am Lech";"Q1 2001 (A110)";"10.01.2001";"2";"geruchlos";"farblos ";"keine Trübung";"5";"8.6";"9.45";"";"6.43";"6.26";"";"24";"13.4";"<1";"<2";"[0,0011]";"[0,0002]";"<0,02";"<0,01";"<0,01";"1.7";"<1";"4.49";"136.4";"[0,002]";"";"";"0.65";"";"33";"";"";"";"";"189.96416";"[0,05]";"[0,01]";"[1,3]";"[0,13]";"[0,7]";"[0,15]";"[0,27]";"[0,21]";"[0,09]";"";
"KK71130022";"Weißenbach am Lech";"Q2 2001 (A120)";"09.04.2001";"5";"geruchlos";"farblos ";"keine Trübung";"5.3";"8.1";"11.37";"";"6.36";"6.42";"";"23.6";"13.3";"<1";"<2";"[0,0009]";"[0,0004]";"<0,02";"[0,0018]";"<0,01";"1.85";"<1";"3.1";"139.9";"<0,015";"";"";"1.58";"";"72";"";"";"";"";"191.75627";"<0,2";"[0,01]";"[0,9]";"[0,18]";"<10";"[0,14]";"[0,19]";"<1";"[0,23]";"";
"KK71130022";"Weißenbach am Lech";"Q3 2001 (A130)";"11.07.2001";"15";"geruchlos";"farblos ";"keine Trübung";"5.5";"8.02";"10.79";"";"6.26";"6.3";"";"23.1";"13.2";"<1";"<2";"[0,0022]";"[0,002]";"[0,0041]";"[0,0007]";"[0,0004]";"1.49";"<1";"3.71";"137";"[0,0028]";"";"";"0.9";"";"74";"";"";"";"";"187.27599";"<0,2";"[0,01]";"[1,5]";"[0,06]";"<10";"[0,1]";"[0,19]";"[0,12]";"[0,18]";"";
"KK71130022";"Weißenbach am Lech";"Q4 2001 (A140)";"08.10.2001";"18";"geruchlos";"farblos ";"keine Trübung";"6";"7.91";"11.25";"";"6.78";"6.34";"";"24.8";"14.4";"<1";"<2";"[0,0013]";"[0,0006]";"<0,02";"<0,01";"[0,0016]";"1.59";"<1";"3.75";"138";"[0,0028]";"";"";"0.97";"";"55";"";"";"";"";"198.02867";"[0,04]";"[0,01]";"[1,7]";"<1";"<10";"[0,19]";"[0,16]";"[0,09]";"[0,32]";"";
"KK71130022";"Weißenbach am Lech";"Q1 2002 (A210)";"19.02.2002";"1";"geruchlos";"farblos ";"keine Trübung";"5.5";"8.15";"11.2";"";"6.59";"6.39";"";"24.7";"13.6";"<1";"<2";"[0,0011]";"[0,0003]";"<0,02";"[0,0031]";"[0,0026]";"1.85";"<1";"3.73";"139";"<0,015";"";"";"[0,199]";"";"40";"";"";"";"";"191.75627";"[0,05]";"[0,03]";"[0,6]";"<1";"<10";"[0,19]";"[0,12]";"[0,38]";"[0,27]";"";
"KK71130022";"Weißenbach am Lech";"Q2 2002 (A220)";"21.05.2002";"16";"geruchlos";"farblos ";"keine Trübung";"5.5";"8.07";"10.94";"";"6.2";"6.24";"";"23";"13";"<1";"<2";"[0,0011]";"[0,0009]";"<0,02";"[0,0039]";"[0,0003]";"1.54";"<1";"3.7";"136";"[0,0047]";"";"";"0.96";"";"65";"";"";"";"";"185.48387";"[0,06]";"<0,2";"<20";"<1";"[1]";"[0,12]";"[0,1]";"<1";"[0,38]";"";
"KK71130022";"Weißenbach am Lech";"Q3 2002 (A230)";"19.08.2002";"21";"geruchlos";"farblos ";"keine Trübung";"5.6";"7.93";"11.63";"";"7.37";"6.69";"";"27.1";"15.6";"<1";"<2";"<0,02";"[0,0006]";"<0,02";"[0,004]";"[0,0006]";"1.53";"<1";"3.06";"146";"[0,0042]";"";"";"1.26";"";"65";"";"";"";"";"203.40502";"[0,06]";"[0,02]";"<20";"[0,24]";"[0,7]";"[0,15]";"[0,11]";"<1";"<1";"";
